epoch,acc,loss,lr,val_acc,val_loss
0,0.6194661921708186,1.0630015606494136,0.001,0.7088,1.0129518714904786
1,0.7646032819563592,0.6756143994942068,0.001,0.7334,0.980054236984253
2,0.8093920193642544,0.5468296615465018,0.001,0.779,0.7680797626495361
3,0.8373705193464565,0.46934527746631033,0.001,0.8432,0.5243326824188232
4,0.8550261631011284,0.4181308057467494,0.001,0.8646,0.447909760761261
5,0.8675070302210515,0.38014753735929413,0.001,0.8682,0.4531245743513107
6,0.8782703876410494,0.3497825311692779,0.001,0.8526,0.5266847172260284
7,0.8861905100914819,0.3245048343787062,0.001,0.8704,0.41717059898376463
8,0.8940171928950272,0.3045779716182238,0.001,0.8866,0.35596505357176067
9,0.899846047057986,0.28543833971569366,0.001,0.8722,0.45983443868160245
10,0.9045402769373153,0.27263089073673713,0.001,0.8838,0.4041808190345764
11,0.9090120314669135,0.25926585914068184,0.001,0.9008,0.36743116410374643
12,0.9121044388281778,0.24954117701557935,0.001,0.8928,0.3893658561110497
13,0.916456056668921,0.23670561969608045,0.001,0.8798,0.43633743402063846
14,0.9194505748763037,0.2290221403861094,0.001,0.9026,0.3288744092941284
15,0.92305467554195,0.2203198161514683,0.001,0.8984,0.37149509083032606
16,0.9253684191791549,0.21122327922938774,0.001,0.9134,0.30073633296489716
17,0.9278245470401879,0.20542562118894975,0.001,0.8986,0.36086776902675627
18,0.9299914569465704,0.19886259812118692,0.001,0.8916,0.3982824139595032
19,0.9318958459402699,0.19250019118255451,0.001,0.9166,0.3108808649837971
20,0.933648951696152,0.18736775991467192,0.001,0.9056,0.33465491442680356
21,0.9360605844872388,0.18384398440585256,0.001,0.9142,0.30913512939810756
22,0.9375155732744812,0.17706328613924724,0.001,0.8956,0.3942189294397831
23,0.9389127184707934,0.17342447540977557,0.001,0.9056,0.353294246417284
24,0.9407147688036166,0.1678066577482435,0.001,0.911,0.32603073650896547
25,0.9416002206955469,0.16472121696772407,0.001,0.9008,0.375665927170217
26,0.9427170469511978,0.16221459177430594,0.001,0.9142,0.30059685375094414
27,0.9447059765777952,0.15637106546964455,0.001,0.9046,0.33359075163006785
28,0.9452221193891717,0.15419142189167565,0.001,0.9122,0.3195730588912964
29,0.947033068735984,0.14975045295476963,0.001,0.9162,0.3147229661107063
30,0.9474735699284519,0.14834018583437567,0.001,0.916,0.2997611657142639
31,0.9481676930196135,0.1451385282525047,0.001,0.9098,0.3558024419993162
32,0.9494580500480547,0.14276899960517866,0.001,0.9192,0.30602057488560674
33,0.9512645498878725,0.13782548055005217,0.001,0.9176,0.319410485458374
34,0.9519408749510554,0.13678877564943479,0.001,0.9218,0.2925274718478322
35,0.9528485743779589,0.1335749103302915,0.001,0.9126,0.3454828840740025
36,0.9525460079023245,0.13259600089561333,0.001,0.9092,0.3640967217922211
37,0.9539831986615883,0.12945245069918104,0.001,0.9102,0.36299757595062254
38,0.9542991136582066,0.12800342950372082,0.001,0.9166,0.31157647606432437
39,0.9547129178087068,0.12808617281869414,0.001,0.915,0.3315392877876759
40,0.9561412095539814,0.12398183700806502,0.001,0.927,0.30134541214704513
41,0.9567596910262343,0.12273565133877683,0.001,0.9132,0.3480711614325643
42,0.9574538141173958,0.12025095668143948,0.001,0.914,0.35828818531781437
43,0.9575828498202399,0.1191653651398,0.001,0.9182,0.31759461489543317
44,0.9586685295269284,0.1175796952681675,0.001,0.9206,0.31530141690969465
45,0.9589844445235468,0.11544369948382173,0.001,0.9176,0.31300265486240386
46,0.9591045812124017,0.11497769517291907,0.001,0.922,0.3092289968378842
47,0.960061225216246,0.1126255067074309,0.001,0.9194,0.32431520022004845
48,0.9606263126045634,0.11184399451277292,0.001,0.9212,0.3025538249194622
49,0.9612180970348485,0.10889272085550013,0.001,0.9236,0.3125265891075134
50,0.9711449471398569,0.08213028040495779,1e-04,0.9292,0.2708845384418964
51,0.9733697006371694,0.07502304846433897,1e-04,0.9306,0.2781021722406149
52,0.9754342718826754,0.0698272341761263,1e-04,0.9294,0.2871002736419439
53,0.9766044922222618,0.06611158549068051,1e-04,0.9288,0.29804958599209785
54,0.9771606805965899,0.06490916162437366,1e-04,0.9332,0.2856258168295026
55,0.9772719182714555,0.06402550495230623,1e-04,0.9312,0.30090355226397514
56,0.9776857224219556,0.06345248087050274,1e-04,0.9304,0.2995955495297909
57,0.977966041362617,0.06237051481156889,1e-04,0.9292,0.3015587248057127
58,0.9782686078382515,0.06145314116309105,1e-04,0.9306,0.2973547954427078
59,0.9789938774783754,0.059762796895154895,1e-04,0.9328,0.3023241065334529
60,0.9790606200832948,0.05909187371199061,1e-04,0.9328,0.294158763962239
61,0.9790606200832948,0.05900155133542721,1e-04,0.9314,0.3032185810737312
62,0.9792341508560851,0.058737300340691335,1e-04,0.9332,0.29893604482263325
63,0.9794299291638486,0.058579161633867574,1e-04,0.9292,0.31761659063100817
64,0.9795812124016658,0.05746874461134882,1e-04,0.9314,0.30151150029040874
65,0.9802041433809134,0.0563325139376027,1e-04,0.9336,0.29520853727161883
66,0.9801551988039725,0.055450278466762586,1e-04,0.9334,0.30476731065139173
67,0.9805423059125049,0.05533244689254261,1e-04,0.93,0.3152423602901399
